date,product_id,product_name,category,units_sold,current_stock,reorder_threshold,price,stock_status,days_until_stockout
2024-01-04,ELEC015,Ring Video Doorbell,Smart Home,3,90,19,99.99,In Stock,30
2024-01-05,ELEC001,iPhone 15 Pro,Smartphones,1,63,15,999.99,In Stock,63
2024-01-05,ELEC002,Samsung Galaxy S24,Smartphones,3,103,24,899.99,In Stock,34
2024-01-05,ELEC003,MacBook Air M2,Laptops,1,154,32,1199.99,In Stock,154
2024-01-05,ELEC004,Dell XPS 13,Laptops,2,73,15,999.99,In Stock,36
2024-01-05,ELEC005,iPad Air,Tablets,4,117,27,599.99,In Stock,29
2024-01-05,ELEC006,Samsung Galaxy Tab S9,Tablets,3,106,23,649.99,In Stock,35
2024-01-05,ELEC007,AirPods Pro,Audio,13,102,27,249.99,In Stock,7
2024-01-05,ELEC008,Sony WH-1000XM5,Audio,2,111,24,349.99,In Stock,55
2024-01-05,ELEC009,Apple Watch Series 9,Wearables,2,118,27,399.99,In Stock,59
2024-01-05,ELEC010,Samsung Galaxy Watch 6,Wearables,1,184,39,349.99,In Stock,184
2024-01-05,ELEC011,Nintendo Switch OLED,Gaming,4,82,19,349.99,In Stock,20
2024-01-05,ELEC012,PlayStation 5,Gaming,2,165,35,499.99,In Stock,82
2024-01-05,ELEC013,Canon EOS R7,Cameras,1,72,15,1499.99,In Stock,72
2024-01-05,ELEC014,DJI Mini 3 Pro,Drones,1,108,23,759.99,In Stock,108
2024-01-05,ELEC015,Ring Video Doorbell,Smart Home,1,89,19,99.99,In Stock,89
2024-01-06,ELEC001,iPhone 15 Pro,Smartphones,5,58,15,999.99,In Stock,11
2024-01-06,ELEC002,Samsung Galaxy S24,Smartphones,4,99,24,899.99,In Stock,24
2024-01-06,ELEC003,MacBook Air M2,Laptops,2,152,32,1199.99,In Stock,76
2024-01-06,ELEC004,Dell XPS 13,Laptops,2,71,15,999.99,In Stock,35
2024-01-06,ELEC005,iPad Air,Tablets,1,116,27,599.99,In Stock,116
2024-01-06,ELEC006,Samsung Galaxy Tab S9,Tablets,1,105,23,649.99,In Stock,105
2024-01-06,ELEC007,AirPods Pro,Audio,12,90,27,249.99,In Stock,7
2024-01-06,ELEC008,Sony WH-1000XM5,Audio,3,108,24,349.99,In Stock,36
2024-01-06,ELEC009,Apple Watch Series 9,Wearables,0,118,27,399.99,In Stock,999
2024-01-06,ELEC010,Samsung Galaxy Watch 6,Wearables,1,183,39,349.99,In Stock,183
2024-01-06,ELEC011,Nintendo Switch OLED,Gaming,4,78,19,349.99,In Stock,19
2024-01-06,ELEC012,PlayStation 5,Gaming,3,162,35,499.99,In Stock,54
2024-01-06,ELEC013,Canon EOS R7,Cameras,0,72,15,1499.99,In Stock,999
2024-01-06,ELEC014,DJI Mini 3 Pro,Drones,1,107,23,759.99,In Stock,107
2024-01-06,ELEC015,Ring Video Doorbell,Smart Home,2,87,19,99.99,In Stock,43
2024-01-07,ELEC001,iPhone 15 Pro,Smartphones,4,54,15,999.99,In Stock,13
2024-01-07,ELEC002,Samsung Galaxy S24,Smartphones,3,96,24,899.99,In Stock,32
2024-01-07,ELEC003,MacBook Air M2,Laptops,2,150,32,1199.99,In Stock,75
2024-01-07,ELEC004,Dell XPS 13,Laptops,0,71,15,999.99,In Stock,999
2024-01-07,ELEC005,iPad Air,Tablets,3,113,27,599.99,In Stock,37
2024-01-07,ELEC006,Samsung Galaxy Tab S9,Tablets,3,102,23,649.99,In Stock,34
2024-01-07,ELEC007,AirPods Pro,Audio,8,82,27,249.99,In Stock,10
2024-01-07,ELEC008,Sony WH-1000XM5,Audio,1,107,24,349.99,In Stock,107
2024-01-07,ELEC009,Apple Watch Series 9,Wearables,3,115,27,399.99,In Stock,38
2024-01-07,ELEC010,Samsung Galaxy Watch 6,Wearables,3,180,39,349.99,In Stock,60
2024-01-07,ELEC011,Nintendo Switch OLED,Gaming,4,74,19,349.99,In Stock,18
2024-01-07,ELEC012,PlayStation 5,Gaming,2,160,35,499.99,In Stock,80
2024-01-07,ELEC013,Canon EOS R7,Cameras,0,72,15,1499.99,In Stock,999
2024-01-07,ELEC014,DJI Mini 3 Pro,Drones,1,106,23,759.99,In Stock,106
2024-01-07,ELEC015,Ring Video Doorbell,Smart Home,0,87,19,99.99,In Stock,999
2024-01-08,ELEC001,iPhone 15 Pro,Smartphones,2,52,15,999.99,In Stock,26
2024-01-08,ELEC002,Samsung Galaxy S24,Smartphones,1,95,24,899.99,In Stock,95
2024-01-08,ELEC003,MacBook Air M2,Laptops,1,149,32,1199.99,In Stock,149
2024-01-08,ELEC004,Dell XPS 13,Laptops,1,70,15,999.99,In Stock,70
2024-01-08,ELEC005,iPad Air,Tablets,5,108,27,599.99,In Stock,21
2024-01-08,ELEC006,Samsung Galaxy Tab S9,Tablets,4,98,23,649.99,In Stock,24
2024-01-08,ELEC007,AirPods Pro,Audio,2,80,27,249.99,In Stock,40
2024-01-08,ELEC008,Sony WH-1000XM5,Audio,1,106,24,349.99,In Stock,106
2024-01-08,ELEC009,Apple Watch Series 9,Wearables,3,112,27,399.99,In Stock,37
2024-01-08,ELEC010,Samsung Galaxy Watch 6,Wearables,4,176,39,349.99,In Stock,44
2024-01-08,ELEC011,Nintendo Switch OLED,Gaming,2,72,19,349.99,In Stock,36
2024-01-08,ELEC012,PlayStation 5,Gaming,0,160,35,499.99,In Stock,999
2024-01-08,ELEC013,Canon EOS R7,Cameras,0,72,15,1499.99,In Stock,999
2024-01-08,ELEC014,DJI Mini 3 Pro,Drones,1,105,23,759.99,In Stock,105
2024-01-08,ELEC015,Ring Video Doorbell,Smart Home,4,83,19,99.99,In Stock,20
2024-01-09,ELEC001,iPhone 15 Pro,Smartphones,2,50,15,999.99,In Stock,25
2024-01-09,ELEC002,Samsung Galaxy S24,Smartphones,2,93,24,899.99,In Stock,46
2024-01-09,ELEC003,MacBook Air M2,Laptops,1,148,32,1199.99,In Stock,148
2024-01-09,ELEC004,Dell XPS 13,Laptops,1,69,15,999.99,In Stock,69
2024-01-09,ELEC005,iPad Air,Tablets,4,104,27,599.99,In Stock,26
2024-01-09,ELEC006,Samsung Galaxy Tab S9,Tablets,1,97,23,649.99,In Stock,97
2024-01-09,ELEC007,AirPods Pro,Audio,2,78,27,249.99,In Stock,39
2024-01-09,ELEC008,Sony WH-1000XM5,Audio,2,104,24,349.99,In Stock,52
2024-01-09,ELEC009,Apple Watch Series 9,Wearables,3,109,27,399.99,In Stock,36
2024-01-09,ELEC010,Samsung Galaxy Watch 6,Wearables,2,174,39,349.99,In Stock,87
2024-01-09,ELEC011,Nintendo Switch OLED,Gaming,4,68,19,349.99,In Stock,17
2024-01-09,ELEC012,PlayStation 5,Gaming,3,157,35,499.99,In Stock,52
2024-01-09,ELEC013,Canon EOS R7,Cameras,1,71,15,1499.99,In Stock,71
2024-01-09,ELEC014,DJI Mini 3 Pro,Drones,1,104,23,759.99,In Stock,104
2024-01-09,ELEC015,Ring Video Doorbell,Smart Home,1,82,19,99.99,In Stock,82
2024-01-10,ELEC001,iPhone 15 Pro,Smartphones,3,47,15,999.99,In Stock,15
2024-01-10,ELEC002,Samsung Galaxy S24,Smartphones,1,92,24,899.99,In Stock,92
2024-01-10,ELEC003,MacBook Air M2,Laptops,1,147,32,1199.99,In Stock,147
2024-01-10,ELEC004,Dell XPS 13,Laptops,0,69,15,999.99,In Stock,999
2024-01-10,ELEC005,iPad Air,Tablets,4,100,27,599.99,In Stock,25
2024-01-10,ELEC006,Samsung Galaxy Tab S9,Tablets,2,95,23,649.99,In Stock,47
2024-01-10,ELEC007,AirPods Pro,Audio,7,71,27,249.99,In Stock,10
2024-01-10,ELEC008,Sony WH-1000XM5,Audio,1,103,24,349.99,In Stock,103
2024-01-10,ELEC009,Apple Watch Series 9,Wearables,3,106,27,399.99,In Stock,35
2024-01-10,ELEC010,Samsung Galaxy Watch 6,Wearables,2,172,39,349.99,In Stock,86
2024-01-10,ELEC011,Nintendo Switch OLED,Gaming,1,67,19,349.99,In Stock,67
2024-01-10,ELEC012,PlayStation 5,Gaming,0,157,35,499.99,In Stock,999
2024-01-10,ELEC013,Canon EOS R7,Cameras,0,71,15,1499.99,In Stock,999
2024-01-10,ELEC014,DJI Mini 3 Pro,Drones,0,104,23,759.99,In Stock,999
2024-01-10,ELEC015,Ring Video Doorbell,Smart Home,2,80,19,99.99,In Stock,40
2024-01-11,ELEC001,iPhone 15 Pro,Smartphones,1,46,15,999.99,In Stock,46
2024-01-11,ELEC002,Samsung Galaxy S24,Smartphones,2,90,24,899.99,In Stock,45
2024-01-11,ELEC003,MacBook Air M2,Laptops,0,147,32,1199.99,In Stock,999
2024-01-11,ELEC004,Dell XPS 13,Laptops,1,68,15,999.99,In Stock,68
2024-01-11,ELEC005,iPad Air,Tablets,2,98,27,599.99,In Stock,49
2024-01-11,ELEC006,Samsung Galaxy Tab S9,Tablets,2,93,23,649.99,In Stock,46
2024-01-11,ELEC007,AirPods Pro,Audio,0,71,27,249.99,In Stock,999
2024-01-11,ELEC008,Sony WH-1000XM5,Audio,1,102,24,349.99,In Stock,102
2024-01-11,ELEC009,Apple Watch Series 9,Wearables,4,102,27,399.99,In Stock,25
2024-01-11,ELEC010,Samsung Galaxy Watch 6,Wearables,0,172,39,349.99,In Stock,999
2024-01-11,ELEC011,Nintendo Switch OLED,Gaming,5,62,19,349.99,In Stock,12
2024-01-11,ELEC012,PlayStation 5,Gaming,1,156,35,499.99,In Stock,156
2024-01-11,ELEC013,Canon EOS R7,Cameras,1,70,15,1499.99,In Stock,70
2024-01-11,ELEC014,DJI Mini 3 Pro,Drones,1,103,23,759.99,In Stock,103
2024-01-11,ELEC015,Ring Video Doorbell,Smart Home,1,79,19,99.99,In Stock,79
2024-01-12,ELEC001,iPhone 15 Pro,Smartphones,2,44,15,999.99,In Stock,22
2024-01-12,ELEC002,Samsung Galaxy S24,Smartphones,3,87,24,899.99,In Stock,29
2024-01-12,ELEC003,MacBook Air M2,Laptops,1,146,32,1199.99,In Stock,146
2024-01-12,ELEC004,Dell XPS 13,Laptops,0,68,15,999.99,In Stock,999
2024-01-12,ELEC005,iPad Air,Tablets,3,95,27,599.99,In Stock,31
2024-01-12,ELEC006,Samsung Galaxy Tab S9,Tablets,1,92,23,649.99,In Stock,92
2024-01-12,ELEC007,AirPods Pro,Audio,0,71,27,249.99,In Stock,999
2024-01-12,ELEC008,Sony WH-1000XM5,Audio,1,101,24,349.99,In Stock,101
2024-01-12,ELEC009,Apple Watch Series 9,Wearables,1,101,27,399.99,In Stock,101
2024-01-12,ELEC010,Samsung Galaxy Watch 6,Wearables,3,169,39,349.99,In Stock,56
2024-01-12,ELEC011,Nintendo Switch OLED,Gaming,2,60,19,349.99,In Stock,30
2024-01-12,ELEC012,PlayStation 5,Gaming,4,152,35,499.99,In Stock,38
2024-01-12,ELEC013,Canon EOS R7,Cameras,0,70,15,1499.99,In Stock,999
2024-01-12,ELEC014,DJI Mini 3 Pro,Drones,2,101,23,759.99,In Stock,50
2024-01-12,ELEC015,Ring Video Doorbell,Smart Home,2,77,19,99.99,In Stock,38
2024-01-13,ELEC001,iPhone 15 Pro,Smartphones,4,40,15,999.99,In Stock,10
2024-01-13,ELEC002,Samsung Galaxy S24,Smartphones,1,86,24,899.99,In Stock,86
2024-01-13,ELEC003,MacBook Air M2,Laptops,2,144,32,1199.99,In Stock,72
2024-01-13,ELEC004,Dell XPS 13,Laptops,1,67,15,999.99,In Stock,67
2024-01-13,ELEC005,iPad Air,Tablets,4,91,27,599.99,In Stock,22
2024-01-13,ELEC006,Samsung Galaxy Tab S9,Tablets,0,92,23,649.99,In Stock,999
2024-01-13,ELEC007,AirPods Pro,Audio,7,64,27,249.99,In Stock,9
2024-01-13,ELEC008,Sony WH-1000XM5,Audio,2,99,24,349.99,In Stock,49
2024-01-13,ELEC009,Apple Watch Series 9,Wearables,4,97,27,399.99,In Stock,24
2024-01-13,ELEC010,Samsung Galaxy Watch 6,Wearables,4,165,39,349.99,In Stock,41
2024-01-13,ELEC011,Nintendo Switch OLED,Gaming,3,57,19,349.99,In Stock,19
2024-01-13,ELEC012,PlayStation 5,Gaming,3,149,35,499.99,In Stock,49
2024-01-13,ELEC013,Canon EOS R7,Cameras,0,70,15,1499.99,In Stock,999
2024-01-13,ELEC014,DJI Mini 3 Pro,Drones,2,99,23,759.99,In Stock,49
2024-01-13,ELEC015,Ring Video Doorbell,Smart Home,3,74,19,99.99,In Stock,24
2024-01-14,ELEC001,iPhone 15 Pro,Smartphones,4,36,15,999.99,In Stock,9
2024-01-14,ELEC002,Samsung Galaxy S24,Smartphones,1,85,24,899.99,In Stock,85
2024-01-14,ELEC003,MacBook Air M2,Laptops,1,143,32,1199.99,In Stock,143
2024-01-14,ELEC004,Dell XPS 13,Laptops,1,66,15,999.99,In Stock,66
2024-01-14,ELEC005,iPad Air,Tablets,5,86,27,599.99,In Stock,17
2024-01-14,ELEC006,Samsung Galaxy Tab S9,Tablets,2,90,23,649.99,In Stock,45
2024-01-14,ELEC007,AirPods Pro,Audio,12,52,27,249.99,In Stock,4
2024-01-14,ELEC008,Sony WH-1000XM5,Audio,3,96,24,349.99,In Stock,32
2024-01-14,ELEC009,Apple Watch Series 9,Wearables,9,88,27,399.99,In Stock,9
2024-01-14,ELEC010,Samsung Galaxy Watch 6,Wearables,4,161,39,349.99,In Stock,40
2024-01-14,ELEC011,Nintendo Switch OLED,Gaming,1,56,19,349.99,In Stock,56
2024-01-14,ELEC012,PlayStation 5,Gaming,1,148,35,499.99,In Stock,148
2024-01-14,ELEC013,Canon EOS R7,Cameras,1,69,15,1499.99,In Stock,69
2024-01-14,ELEC014,DJI Mini 3 Pro,Drones,2,97,23,759.99,In Stock,48
2024-01-14,ELEC015,Ring Video Doorbell,Smart Home,2,72,19,99.99,In Stock,36
2024-01-15,ELEC001,iPhone 15 Pro,Smartphones,5,31,15,999.99,In Stock,6
2024-01-15,ELEC002,Samsung Galaxy S24,Smartphones,3,82,24,899.99,In Stock,27
2024-01-15,ELEC003,MacBook Air M2,Laptops,1,142,32,1199.99,In Stock,142
2024-01-15,ELEC004,Dell XPS 13,Laptops,1,65,15,999.99,In Stock,65
2024-01-15,ELEC005,iPad Air,Tablets,5,81,27,599.99,In Stock,16
2024-01-15,ELEC006,Samsung Galaxy Tab S9,Tablets,3,87,23,649.99,In Stock,29
2024-01-15,ELEC007,AirPods Pro,Audio,2,50,27,249.99,In Stock,25
2024-01-15,ELEC008,Sony WH-1000XM5,Audio,1,95,24,349.99,In Stock,95
2024-01-15,ELEC009,Apple Watch Series 9,Wearables,4,84,27,399.99,In Stock,21
2024-01-15,ELEC010,Samsung Galaxy Watch 6,Wearables,2,159,39,349.99,In Stock,79
2024-01-15,ELEC011,Nintendo Switch OLED,Gaming,5,51,19,349.99,In Stock,10
2024-01-15,ELEC012,PlayStation 5,Gaming,2,146,35,499.99,In Stock,73
2024-01-15,ELEC013,Canon EOS R7,Cameras,0,69,15,1499.99,In Stock,999
2024-01-15,ELEC014,DJI Mini 3 Pro,Drones,0,97,23,759.99,In Stock,999
2024-01-15,ELEC015,Ring Video Doorbell,Smart Home,3,69,19,99.99,In Stock,23
2024-01-16,ELEC001,iPhone 15 Pro,Smartphones,3,28,15,999.99,In Stock,9
2024-01-16,ELEC002,Samsung Galaxy S24,Smartphones,3,79,24,899.99,In Stock,26
2024-01-16,ELEC003,MacBook Air M2,Laptops,0,142,32,1199.99,In Stock,999
2024-01-16,ELEC004,Dell XPS 13,Laptops,1,64,15,999.99,In Stock,64
2024-01-16,ELEC005,iPad Air,Tablets,6,75,27,599.99,In Stock,12
2024-01-16,ELEC006,Samsung Galaxy Tab S9,Tablets,4,83,23,649.99,In Stock,20
2024-01-16,ELEC007,AirPods Pro,Audio,0,50,27,249.99,In Stock,999
2024-01-16,ELEC008,Sony WH-1000XM5,Audio,2,93,24,349.99,In Stock,46
2024-01-16,ELEC009,Apple Watch Series 9,Wearables,1,83,27,399.99,In Stock,83
2024-01-16,ELEC010,Samsung Galaxy Watch 6,Wearables,4,155,39,349.99,In Stock,38
2024-01-16,ELEC011,Nintendo Switch OLED,Gaming,1,50,19,349.99,In Stock,50
2024-01-16,ELEC012,PlayStation 5,Gaming,0,146,35,499.99,In Stock,999
2024-01-16,ELEC013,Canon EOS R7,Cameras,0,69,15,1499.99,In Stock,999
2024-01-16,ELEC014,DJI Mini 3 Pro,Drones,0,97,23,759.99,In Stock,999
2024-01-16,ELEC015,Ring Video Doorbell,Smart Home,0,69,19,99.99,In Stock,999
2024-01-17,ELEC001,iPhone 15 Pro,Smartphones,3,25,15,999.99,In Stock,8
2024-01-17,ELEC002,Samsung Galaxy S24,Smartphones,3,76,24,899.99,In Stock,25
2024-01-17,ELEC003,MacBook Air M2,Laptops,2,140,32,1199.99,In Stock,70
2024-01-17,ELEC004,Dell XPS 13,Laptops,1,63,15,999.99,In Stock,63
2024-01-17,ELEC005,iPad Air,Tablets,3,72,27,599.99,In Stock,24
2024-01-17,ELEC006,Samsung Galaxy Tab S9,Tablets,3,80,23,649.99,In Stock,26
2024-01-17,ELEC007,AirPods Pro,Audio,3,47,27,249.99,In Stock,15
2024-01-17,ELEC008,Sony WH-1000XM5,Audio,3,90,24,349.99,In Stock,30
2024-01-17,ELEC009,Apple Watch Series 9,Wearables,0,83,27,399.99,In Stock,999
2024-01-17,ELEC010,Samsung Galaxy Watch 6,Wearables,2,153,39,349.99,In Stock,76
2024-01-17,ELEC011,Nintendo Switch OLED,Gaming,0,50,19,349.99,In Stock,999
2024-01-17,ELEC012,PlayStation 5,Gaming,1,145,35,499.99,In Stock,145
2024-01-17,ELEC013,Canon EOS R7,Cameras,1,68,15,1499.99,In Stock,68
2024-01-17,ELEC014,DJI Mini 3 Pro,Drones,1,96,23,759.99,In Stock,96
2024-01-17,ELEC015,Ring Video Doorbell,Smart Home,2,67,19,99.99,In Stock,33
2024-01-18,ELEC001,iPhone 15 Pro,Smartphones,4,21,15,999.99,In Stock,5
2024-01-18,ELEC002,Samsung Galaxy S24,Smartphones,3,73,24,899.99,In Stock,24
2024-01-18,ELEC003,MacBook Air M2,Laptops,2,138,32,1199.99,In Stock,69
2024-01-18,ELEC004,Dell XPS 13,Laptops,1,62,15,999.99,In Stock,62
2024-01-18,ELEC005,iPad Air,Tablets,3,69,27,599.99,In Stock,23
2024-01-18,ELEC006,Samsung Galaxy Tab S9,Tablets,1,79,23,649.99,In Stock,79
2024-01-18,ELEC007,AirPods Pro,Audio,7,40,27,249.99,In Stock,5
2024-01-18,ELEC008,Sony WH-1000XM5,Audio,3,87,24,349.99,In Stock,29
2024-01-18,ELEC009,Apple Watch Series 9,Wearables,3,80,27,399.99,In Stock,26
2024-01-18,ELEC010,Samsung Galaxy Watch 6,Wearables,0,153,39,349.99,In Stock,999
2024-01-18,ELEC011,Nintendo Switch OLED,Gaming,0,50,19,349.99,In Stock,999
2024-01-18,ELEC012,PlayStation 5,Gaming,1,144,35,499.99,In Stock,144
2024-01-18,ELEC013,Canon EOS R7,Cameras,1,67,15,1499.99,In Stock,67
2024-01-18,ELEC014,DJI Mini 3 Pro,Drones,1,95,23,759.99,In Stock,95
2024-01-18,ELEC015,Ring Video Doorbell,Smart Home,6,61,19,99.99,In Stock,10
2024-01-19,ELEC001,iPhone 15 Pro,Smartphones,2,19,15,999.99,In Stock,9
2024-01-19,ELEC002,Samsung Galaxy S24,Smartphones,2,71,24,899.99,In Stock,35
2024-01-19,ELEC003,MacBook Air M2,Laptops,1,137,32,1199.99,In Stock,137
2024-01-19,ELEC004,Dell XPS 13,Laptops,0,62,15,999.99,In Stock,999
2024-01-19,ELEC005,iPad Air,Tablets,4,65,27,599.99,In Stock,16
2024-01-19,ELEC006,Samsung Galaxy Tab S9,Tablets,2,77,23,649.99,In Stock,38
2024-01-19,ELEC007,AirPods Pro,Audio,6,34,27,249.99,In Stock,5
2024-01-19,ELEC008,Sony WH-1000XM5,Audio,3,84,24,349.99,In Stock,28
2024-01-19,ELEC009,Apple Watch Series 9,Wearables,1,79,27,399.99,In Stock,79
2024-01-19,ELEC010,Samsung Galaxy Watch 6,Wearables,1,152,39,349.99,In Stock,152
2024-01-19,ELEC011,Nintendo Switch OLED,Gaming,4,46,19,349.99,In Stock,11
2024-01-19,ELEC012,PlayStation 5,Gaming,2,142,35,499.99,In Stock,71
2024-01-19,ELEC013,Canon EOS R7,Cameras,0,67,15,1499.99,In Stock,999
2024-01-19,ELEC014,DJI Mini 3 Pro,Drones,2,93,23,759.99,In Stock,46
2024-01-19,ELEC015,Ring Video Doorbell,Smart Home,4,57,19,99.99,In Stock,14
2024-01-20,ELEC001,iPhone 15 Pro,Smartphones,3,16,15,999.99,In Stock,5
2024-01-20,ELEC002,Samsung Galaxy S24,Smartphones,5,66,24,899.99,In Stock,13
2024-01-20,ELEC003,MacBook Air M2,Laptops,2,135,32,1199.99,In Stock,67
2024-01-20,ELEC004,Dell XPS 13,Laptops,1,61,15,999.99,In Stock,61
2024-01-20,ELEC005,iPad Air,Tablets,2,63,27,599.99,In Stock,31
2024-01-20,ELEC006,Samsung Galaxy Tab S9,Tablets,4,73,23,649.99,In Stock,18
2024-01-20,ELEC007,AirPods Pro,Audio,7,27,27,249.99,Low Stock,3
2024-01-20,ELEC008,Sony WH-1000XM5,Audio,2,82,24,349.99,In Stock,41
2024-01-20,ELEC009,Apple Watch Series 9,Wearables,4,75,27,399.99,In Stock,18
2024-01-20,ELEC010,Samsung Galaxy Watch 6,Wearables,3,149,39,349.99,In Stock,49
2024-01-20,ELEC011,Nintendo Switch OLED,Gaming,8,38,19,349.99,In Stock,4
2024-01-20,ELEC012,PlayStation 5,Gaming,2,140,35,499.99,In Stock,70
2024-01-20,ELEC013,Canon EOS R7,Cameras,1,66,15,1499.99,In Stock,66
2024-01-20,ELEC014,DJI Mini 3 Pro,Drones,2,91,23,759.99,In Stock,45
2024-01-20,ELEC015,Ring Video Doorbell,Smart Home,0,57,19,99.99,In Stock,999
2024-01-21,ELEC001,iPhone 15 Pro,Smartphones,5,11,15,999.99,Low Stock,2
2024-01-21,ELEC002,Samsung Galaxy S24,Smartphones,3,63,24,899.99,In Stock,21
2024-01-21,ELEC003,MacBook Air M2,Laptops,0,135,32,1199.99,In Stock,999
